,SampleID,treatment,series,group,stage,stage_all,age_days,group_stage,timepoint,plant_rep,harvest_date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry,compartment,compartment_code,RP_extr_number,RS_extr_number,pellet_date,extr_date,extr_group,sample_type,control_type,experiment,is.neg
RP_146,RP_146,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,5,7-Oct,Zeb_time_day63_5,18.4,41.63,22.26,16.27,25.36,5.99,rhizoplane,RP,146,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_18,RP_18,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,2,7-Oct,Zeb_time_day63_2,24.6,39.77,21.7,16.27,23.5,5.43,rhizoplane,RP,18,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_40,RP_40,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,1,7-Oct,Zeb_time_day63_1,14.7,52.03,22.99,16.27,35.76,6.72,rhizoplane,RP,40,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_41,RP_41,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,3,7-Oct,Zeb_time_day63_3,22.1,58.94,24.99,16.27,42.67,8.72,rhizoplane,RP,41,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RS_166,RS_166,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,2,7-Oct,Zeb_time_day63_2,24.6,39.77,21.7,16.27,23.5,5.43,rhizosphere,RS,NA,166,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_188,RS_188,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,1,7-Oct,Zeb_time_day63_1,14.7,52.03,22.99,16.27,35.76,6.72,rhizosphere,RS,NA,188,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_189,RS_189,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,3,7-Oct,Zeb_time_day63_3,22.1,58.94,24.99,16.27,42.67,8.72,rhizosphere,RS,NA,189,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_251,RS_251,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,4,7-Oct,Zeb_time_day63_4,20.1,42.07,21.75,16.27,25.8,5.48,rhizosphere,RS,NA,251,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_294,RS_294,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,5,7-Oct,Zeb_time_day63_5,18.4,41.63,22.26,16.27,25.36,5.99,rhizosphere,RS,NA,294,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_136,RP_136,Control,time,Control_time,day7,VC,7,Control_time_day7,2,1,12-Aug,Control_time_day7_1,9.1,4.59,2.95,2.5,2.09,0.45,rhizoplane,RP,136,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_137,RP_137,Control,time,Control_time,day7,VC,7,Control_time_day7,2,3,12-Aug,Control_time_day7_3,8,4.55,2.94,2.5,2.05,0.44,rhizoplane,RP,137,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_33,RP_33,Control,time,Control_time,day7,VC,7,Control_time_day7,2,2,12-Aug,Control_time_day7_2,7.8,4.58,2.93,2.5,2.08,0.43,rhizoplane,RP,33,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_52,RP_52,Control,time,Control_time,day7,VC,7,Control_time_day7,2,5,12-Aug,Control_time_day7_5,8.6,4.89,2.99,2.5,2.39,0.49,rhizoplane,RP,52,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_73,RP_73,Control,time,Control_time,day7,VC,7,Control_time_day7,2,4,12-Aug,Control_time_day7_4,7.3,4.78,2.91,2.5,2.28,0.41,rhizoplane,RP,73,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_181,RS_181,Control,time,Control_time,day7,VC,7,Control_time_day7,2,2,12-Aug,Control_time_day7_2,7.8,4.58,2.93,2.5,2.08,0.43,rhizosphere,RS,NA,181,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_200,RS_200,Control,time,Control_time,day7,VC,7,Control_time_day7,2,5,12-Aug,Control_time_day7_5,8.6,4.89,2.99,2.5,2.39,0.49,rhizosphere,RS,NA,200,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_221,RS_221,Control,time,Control_time,day7,VC,7,Control_time_day7,2,4,12-Aug,Control_time_day7_4,7.3,4.78,2.91,2.5,2.28,0.41,rhizosphere,RS,NA,221,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_284,RS_284,Control,time,Control_time,day7,VC,7,Control_time_day7,2,1,12-Aug,Control_time_day7_1,9.1,4.59,2.95,2.5,2.09,0.45,rhizosphere,RS,NA,284,,5/15/23,14,sample,,rhizo_assembly,FALSE
RS_285,RS_285,Control,time,Control_time,day7,VC,7,Control_time_day7,2,3,12-Aug,Control_time_day7_3,8,4.55,2.94,2.5,2.05,0.44,rhizosphere,RS,NA,285,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_104,RP_104,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,5,12-Aug,Zeb_time_day7_5,1.8,3.95,2.97,2.5,1.45,0.47,rhizoplane,RP,104,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_125,RP_125,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,2,12-Aug,Zeb_time_day7_2,1,3.88,3.05,2.5,1.38,0.55,rhizoplane,RP,125,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_19,RP_19,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,1,12-Aug,Zeb_time_day7_1,2,3.75,2.95,2.5,1.25,0.45,rhizoplane,RP,19,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_20,RP_20,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,3,12-Aug,Zeb_time_day7_3,1.1,4.31,3.14,2.5,1.81,0.64,rhizoplane,RP,20,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_83,RP_83,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,4,12-Aug,Zeb_time_day7_4,1.2,3.85,3.05,2.5,1.35,0.55,rhizoplane,RP,83,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_167,RS_167,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,1,12-Aug,Zeb_time_day7_1,2,3.75,2.95,2.5,1.25,0.45,rhizosphere,RS,NA,167,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_168,RS_168,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,3,12-Aug,Zeb_time_day7_3,1.1,4.31,3.14,2.5,1.81,0.64,rhizosphere,RS,NA,168,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_231,RS_231,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,4,12-Aug,Zeb_time_day7_4,1.2,3.85,3.05,2.5,1.35,0.55,rhizosphere,RS,NA,231,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_252,RS_252,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,5,12-Aug,Zeb_time_day7_5,1.8,3.95,2.97,2.5,1.45,0.47,rhizosphere,RS,NA,252,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_273,RS_273,Zeb,time,Zeb_time,day7,Emerged,7,Zeb_time_day7,2,2,12-Aug,Zeb_time_day7_2,1,3.88,3.05,2.5,1.38,0.55,rhizosphere,RS,NA,273,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_1,RP_1,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,5,31-Aug,Control_growth_R1_5,31.9,30.11,18.69,16.27,13.84,2.42,rhizoplane,RP,1,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_22,RP_22,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,4,31-Aug,Control_growth_R1_4,28.8,30.59,18.9,16.27,14.32,2.63,rhizoplane,RP,22,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_85,RP_85,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,1,31-Aug,Control_growth_R1_1,22.9,28.81,18.34,16.27,12.54,2.07,rhizoplane,RP,85,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_86,RP_86,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,2,31-Aug,Control_growth_R1_2,26.7,28.23,18.37,16.27,11.96,2.1,rhizoplane,RP,86,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_149,RS_149,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,5,31-Aug,Control_growth_R1_5,31.9,30.11,18.69,16.27,13.84,2.42,rhizosphere,RS,NA,149,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_170,RS_170,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,4,31-Aug,Control_growth_R1_4,28.8,30.59,18.9,16.27,14.32,2.63,rhizosphere,RS,NA,170,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_233,RS_233,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,1,31-Aug,Control_growth_R1_1,22.9,28.81,18.34,16.27,12.54,2.07,rhizosphere,RS,NA,233,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_234,RS_234,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,2,31-Aug,Control_growth_R1_2,26.7,28.23,18.37,16.27,11.96,2.1,rhizosphere,RS,NA,234,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_275,RS_275,Control,growth,Control_growth,R1,R1,26,Control_growth_R1,5,3,31-Aug,Control_growth_R1_3,21.7,26.59,18.18,16.27,10.32,1.91,rhizosphere,RS,NA,275,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_114,RP_114,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,1,11-Sep,Zeb_growth_R1_1,9.8,20.32,16.52,16.27,4.05,0.25,rhizoplane,RP,114,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_115,RP_115,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,4,11-Sep,Zeb_growth_R1_4,37.5,27.37,18.03,16.27,11.1,1.76,rhizoplane,RP,115,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_34,RP_34,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,2,11-Sep,Zeb_growth_R1_2,22.2,24.56,17.46,16.27,8.29,1.19,rhizoplane,RP,34,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_53,RP_53,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,3,11-Sep,Zeb_growth_R1_3,11.9,22.13,16.88,16.27,5.86,0.61,rhizoplane,RP,53,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_54,RP_54,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,5,11-Sep,Zeb_growth_R1_5,11.9,24.19,17.81,16.27,7.92,1.54,rhizoplane,RP,54,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RS_182,RS_182,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,2,11-Sep,Zeb_growth_R1_2,22.2,24.56,17.46,16.27,8.29,1.19,rhizosphere,RS,NA,182,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_201,RS_201,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,3,11-Sep,Zeb_growth_R1_3,11.9,22.13,16.88,16.27,5.86,0.61,rhizosphere,RS,NA,201,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_202,RS_202,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,5,11-Sep,Zeb_growth_R1_5,11.9,24.19,17.81,16.27,7.92,1.54,rhizosphere,RS,NA,202,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_262,RS_262,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,1,11-Sep,Zeb_growth_R1_1,9.8,20.32,16.52,16.27,4.05,0.25,rhizosphere,RS,NA,262,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_263,RS_263,Zeb,growth,Zeb_growth,R1,R1,37,Zeb_growth_R1,5,4,11-Sep,Zeb_growth_R1_4,37.5,27.37,18.03,16.27,11.1,1.76,rhizosphere,RS,NA,263,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_106,RP_106,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,3,11-Sep,Control_growth_R4_3,30.8,58.02,21.42,16.27,41.75,5.15,rhizoplane,RP,106,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_128,RP_128,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,4,11-Sep,Control_growth_R4_4,33.4,58.66,21.6,16.27,42.39,5.33,rhizoplane,RP,128,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_23,RP_23,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,5,11-Sep,Control_growth_R4_5,37.7,68.28,23.59,16.27,52.01,7.32,rhizoplane,RP,23,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_64,RP_64,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,1,11-Sep,Control_growth_R4_1,21.4,59.84,22.09,16.27,43.57,5.82,rhizoplane,RP,64,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_87,RP_87,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,2,11-Sep,Control_growth_R4_2,25.1,53.66,21.35,16.27,37.39,5.08,rhizoplane,RP,87,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_171,RS_171,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,5,11-Sep,Control_growth_R4_5,37.7,68.28,23.59,16.27,52.01,7.32,rhizosphere,RS,NA,171,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_212,RS_212,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,1,11-Sep,Control_growth_R4_1,21.4,59.84,22.09,16.27,43.57,5.82,rhizosphere,RS,NA,212,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_235,RS_235,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,2,11-Sep,Control_growth_R4_2,25.1,53.66,21.35,16.27,37.39,5.08,rhizosphere,RS,NA,235,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_254,RS_254,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,3,11-Sep,Control_growth_R4_3,30.8,58.02,21.42,16.27,41.75,5.15,rhizosphere,RS,NA,254,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_276,RS_276,Control,growth,Control_growth,R4,R4,37,Control_growth_R4,6,4,11-Sep,Control_growth_R4_4,33.4,58.66,21.6,16.27,42.39,5.33,rhizosphere,RS,NA,276,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_116,RP_116,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,3,29-Sep,Zeb_growth_R4_3,19.5,53.28,21.65,16.27,37.01,5.38,rhizoplane,RP,116,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_117,RP_117,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,5,29-Sep,Zeb_growth_R4_5,21.4,59.32,24.23,16.27,43.05,7.96,rhizoplane,RP,117,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_138,RP_138,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,2,29-Sep,Zeb_growth_R4_2,13.9,55.41,22.42,16.27,39.14,6.15,rhizoplane,RP,138,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_55,RP_55,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,4,29-Sep,Zeb_growth_R4_4,22.3,53.2,23.02,16.27,36.93,6.75,rhizoplane,RP,55,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_8,RP_8,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,1,29-Sep,Zeb_growth_R4_1,25,45.72,21.73,16.27,29.45,5.46,rhizoplane,RP,8,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RS_156,RS_156,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,1,29-Sep,Zeb_growth_R4_1,25,45.72,21.73,16.27,29.45,5.46,rhizosphere,RS,NA,156,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_203,RS_203,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,4,29-Sep,Zeb_growth_R4_4,22.3,53.2,23.02,16.27,36.93,6.75,rhizosphere,RS,NA,203,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_264,RS_264,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,3,29-Sep,Zeb_growth_R4_3,19.5,53.28,21.65,16.27,37.01,5.38,rhizosphere,RS,NA,264,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_265,RS_265,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,5,29-Sep,Zeb_growth_R4_5,21.4,59.32,24.23,16.27,43.05,7.96,rhizosphere,RS,NA,265,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_286,RS_286,Zeb,growth,Zeb_growth,R4,R4,55,Zeb_growth_R4,6,2,29-Sep,Zeb_growth_R4_2,13.9,55.41,22.42,16.27,39.14,6.15,rhizosphere,RS,NA,286,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_129,RP_129,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,3,28-Sep,Control_growth_R7_3,32,52.15,27.83,16.27,35.88,11.56,rhizoplane,RP,129,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_24,RP_24,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,1,28-Sep,Control_growth_R7_1,28.2,32.16,28.55,16.27,15.89,12.28,rhizoplane,RP,24,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_43,RP_43,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,2,28-Sep,Control_growth_R7_2,28.9,42.15,28.67,16.27,25.88,12.4,rhizoplane,RP,43,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_65,RP_65,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,4,28-Sep,Control_growth_R7_4,24.2,51.38,26.01,16.27,35.11,9.74,rhizoplane,RP,65,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_172,RS_172,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,1,28-Sep,Control_growth_R7_1,28.2,32.16,28.55,16.27,15.89,12.28,rhizosphere,RS,NA,172,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_191,RS_191,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,2,28-Sep,Control_growth_R7_2,28.9,42.15,28.67,16.27,25.88,12.4,rhizosphere,RS,NA,191,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_213,RS_213,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,4,28-Sep,Control_growth_R7_4,24.2,51.38,26.01,16.27,35.11,9.74,rhizosphere,RS,NA,213,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_214,RS_214,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,5,28-Sep,Control_growth_R7_5,25.7,34.76,26.5,16.27,18.49,10.23,rhizosphere,RS,NA,214,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_277,RS_277,Control,growth,Control_growth,R7,R7,54,Control_growth_R7,7,3,28-Sep,Control_growth_R7_3,32,52.15,27.83,16.27,35.88,11.56,rhizosphere,RS,NA,277,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_10,RP_10,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,3,19-Oct,Zeb_growth_R7_3,22.3,27.99,26.05,16.27,11.72,9.78,rhizoplane,RP,10,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_139,RP_139,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,1,19-Oct,Zeb_growth_R7_1,20.3,30.01,26.03,16.27,13.74,9.76,rhizoplane,RP,139,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_74,RP_74,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,4,19-Oct,Zeb_growth_R7_4,20.6,31.87,29.89,16.27,15.6,13.62,rhizoplane,RP,74,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_75,RP_75,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,5,19-Oct,Zeb_growth_R7_5,28.3,27.38,24.72,16.27,11.11,8.45,rhizoplane,RP,75,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_9,RP_9,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,2,19-Oct,Zeb_growth_R7_2,14.8,28.38,22.53,16.27,12.11,6.26,rhizoplane,RP,9,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RS_157,RS_157,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,2,19-Oct,Zeb_growth_R7_2,14.8,28.38,22.53,16.27,12.11,6.26,rhizosphere,RS,NA,157,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_158,RS_158,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,3,19-Oct,Zeb_growth_R7_3,22.3,27.99,26.05,16.27,11.72,9.78,rhizosphere,RS,NA,158,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_222,RS_222,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,4,19-Oct,Zeb_growth_R7_4,20.6,31.87,29.89,16.27,15.6,13.62,rhizosphere,RS,NA,222,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_223,RS_223,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,5,19-Oct,Zeb_growth_R7_5,28.3,27.38,24.72,16.27,11.11,8.45,rhizosphere,RS,NA,223,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_287,RS_287,Zeb,growth,Zeb_growth,R7,R7,75,Zeb_growth_R7,7,1,19-Oct,Zeb_growth_R7_1,20.3,30.01,26.03,16.27,13.74,9.76,rhizosphere,RS,NA,287,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_107,RP_107,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,4,15-Aug,Control_growth_V1_4,10.6,NA,2.95,2.5,NA,0.45,rhizoplane,RP,107,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_44,RP_44,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,1,15-Aug,Control_growth_V1_1,9.5,NA,2.96,2.5,NA,0.46,rhizoplane,RP,44,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_45,RP_45,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,2,15-Aug,Control_growth_V1_2,10.7,NA,2.94,2.5,NA,0.44,rhizoplane,RP,45,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_46,RP_46,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,5,15-Aug,Control_growth_V1_5,11.9,NA,2.96,2.5,NA,0.46,rhizoplane,RP,46,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_88,RP_88,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,3,15-Aug,Control_growth_V1_3,12.4,NA,3.07,2.5,NA,0.57,rhizoplane,RP,88,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_192,RS_192,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,1,15-Aug,Control_growth_V1_1,9.5,NA,2.96,2.5,NA,0.46,rhizosphere,RS,NA,192,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_193,RS_193,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,2,15-Aug,Control_growth_V1_2,10.7,NA,2.94,2.5,NA,0.44,rhizosphere,RS,NA,193,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_194,RS_194,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,5,15-Aug,Control_growth_V1_5,11.9,NA,2.96,2.5,NA,0.46,rhizosphere,RS,NA,194,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_236,RS_236,Control,growth,Control_growth,V1,V1,10,Control_growth_V1,1,3,15-Aug,Control_growth_V1_3,12.4,NA,3.07,2.5,NA,0.57,rhizosphere,RS,NA,236,,5/15/23,12,sample,,rhizo_assembly,FALSE
RP_11,RP_11,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,3,25-Aug,Zeb_growth_V1_3,10.1,4.97,3.01,2.5,2.47,0.51,rhizoplane,RP,11,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_118,RP_118,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,1,25-Aug,Zeb_growth_V1_1,7.8,5.4,3.11,2.5,2.9,0.61,rhizoplane,RP,118,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_12,RP_12,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,4,25-Aug,Zeb_growth_V1_4,7.9,4.14,2.89,2.5,1.64,0.39,rhizoplane,RP,12,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_56,RP_56,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,5,25-Aug,Zeb_growth_V1_5,7.8,5.14,3.05,2.5,2.64,0.55,rhizoplane,RP,56,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_76,RP_76,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,2,25-Aug,Zeb_growth_V1_2,6.7,5.46,3.08,2.5,2.96,0.58,rhizoplane,RP,76,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_159,RS_159,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,3,25-Aug,Zeb_growth_V1_3,10.1,4.97,3.01,2.5,2.47,0.51,rhizosphere,RS,NA,159,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_160,RS_160,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,4,25-Aug,Zeb_growth_V1_4,7.9,4.14,2.89,2.5,1.64,0.39,rhizosphere,RS,NA,160,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_224,RS_224,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,2,25-Aug,Zeb_growth_V1_2,6.7,5.46,3.08,2.5,2.96,0.58,rhizosphere,RS,NA,224,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_266,RS_266,Zeb,growth,Zeb_growth,V1,V1,20,Zeb_growth_V1,1,1,25-Aug,Zeb_growth_V1_1,7.8,5.4,3.11,2.5,2.9,0.61,rhizosphere,RS,NA,266,,5/15/23,13,sample,,rhizo_assembly,FALSE
