,day21_5,day3_4,day63_2,day7_1,day7_3,day14_5,day3_1,day35_1,day63_1,day63_3,day3_5,day49_2,day14_1,day14_2,day35_4,day35_5,day49_3,day7_4,day21_4,day3_2,day35_3,day49_4,day63_4,day7_5,day14_3,day21_1,day21_2,day35_2,day49_1,day7_2,day14_4,day21_3,day3_3,day63_5
00b1b28fe24b48cc41434c37cb4f358c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b1d3c8914e16a3a3cae525bf5ced05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b3b2150e42e194ffe3b073aea99750,0,0,0,0,0,0,0,9,3,0,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
00b88809de3535ec9a74caff437b7c8b,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ba0de360d5125b306f2032278e7cf7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
00baf560cb39d645837cbe4455446f39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00bfa9ca14c6aa6c87df084faea100b1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c4e7c1378b039e8f3ad679d31ef43f,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c63dd4dc065c3c9d92421695ebd372,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c6c1b95a45ae830a1933a6320b3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
00c7a3f7330134722dd5f0c72e4beb44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c905253e84aab5042613bcc22d568c,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,35,0,0,0
00cac2219a60168860a396dfb623bc93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00cae9c8540e1fe11fc87e9efb28dd49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
00cee6ffffefe6bd408c0369b5db2f14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00d4306620fb956f4cb8ea6616da13a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
00d95acb3cff5cfe27f89e3e91213611,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00dab8e2282ae65d7e33fac134aebce3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00de6eb2e416cad8239668a0722d0a23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e1b2f445c7a523e0f41371e54e7a81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00e1d26f179b05492ac258f76a26bb30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e41febef8b252e52a7e08e127ddb9e,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ec181d0f90cb5fedd1fbb09fc86a3c,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00f22fe0aa7d9b976a6a884f493a1b75,0,10,0,16,12,0,5,7,6,5,0,0,19,0,8,4,0,0,0,0,0,0,0,0,22,0,0,0,0,10,0,0,0,0
00f589eb908db24618e038fbb0c176ad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105742b7b075f22181e69477d4e30ed,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010678d727be000f0eb2817676ae7c72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0107d2fc08dcd59cf34b61111cd91bb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
010d837f57befdc435bef6da7055ea76,29,2,0,4,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0
011b765a1a22962a0570763df55db975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
